age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,score_credit,loyer_mensuel,montant_pret
44,168.2,74.9,H,non,bac,Île-de-France,non,oui,5245.0,célibataire,2.0,0.79,577.0,867.952,32408.309271881208
71,160.3,45.5,H,non,doctorat,Auvergne-Rhône-Alpes,oui,oui,3792.0,célibataire,0.0,0.13,580.0,700.914,17975.461375021725
22,170.8,60.9,F,non,master,Bretagne,oui,oui,714.0,célibataire,0.0,0.46,772.0,699.57,500.0
28,161.6,81.2,F,oui,master,Hauts-de-France,oui,oui,500.0,célibataire,2.0,0.66,356.0,837.7660000000002,500.0
24,169.1,68.1,H,non,doctorat,Provence-Alpes-Côte d’Azur,oui,oui,3440.0,marié,2.0,0.14,633.0,868.476,18070.091787237645
53,158.2,84.3,F,oui,doctorat,Hauts-de-France,oui,oui,885.0,divorcé,3.0,0.48,375.0,684.7860000000001,12373.56023523041
57,158.9,57.3,H,oui,master,Île-de-France,oui,oui,3114.0,célibataire,4.0,0.5,646.0,767.006,20050.690685912497
45,188.0,87.6,F,non,bac,Occitanie,oui,oui,1840.0,célibataire,2.0,0.52,434.0,596.0,500.0
37,164.6,95.1,H,oui,aucun,Auvergne-Rhône-Alpes,non,non,2050.0,marié,5.0,0.5,634.0,679.878,500.0
35,170.6,83.3,F,non,aucun,Provence-Alpes-Côte d’Azur,non,non,3911.0,divorcé,3.0,0.67,581.0,865.49,500.0
34,157.9,73.9,F,non,aucun,Île-de-France,oui,oui,3821.0,marié,5.0,0.04,557.0,1141.89,500.0
74,155.1,65.4,H,non,bac+2,Normandie,oui,oui,500.0,veuf,2.0,0.22,577.0,654.534,500.0
32,167.1,76.5,H,non,doctorat,Île-de-France,oui,non,4635.0,célibataire,5.0,0.8,557.0,566.954,1986.2237285384024
51,152.9,70.6,F,oui,master,Provence-Alpes-Côte d’Azur,non,non,500.0,divorcé,4.0,0.96,576.0,713.5759999999999,500.0
22,170.3,84.1,H,non,aucun,Hauts-de-France,oui,oui,900.0,veuf,3.0,0.14,581.0,889.7240000000002,500.0
58,172.7,76.4,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,non,3853.0,marié,2.0,0.4,656.0,794.824,500.0
66,156.9,73.7,H,non,doctorat,Corse,non,non,1672.0,célibataire,5.0,0.12,620.0,929.684,500.0
44,166.2,56.4,F,oui,aucun,Auvergne-Rhône-Alpes,non,oui,2350.0,célibataire,4.0,0.08,576.0,1065.788,12238.402238366429
28,180.5,73.1,H,oui,master,Île-de-France,non,non,2182.0,marié,3.0,0.02,581.0,844.0419999999998,18547.59442206578
33,184.1,68.2,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,923.0,veuf,3.0,0.57,581.0,1052.648,500.0
46,180.0,80.4,F,non,master,Hauts-de-France,oui,non,2214.0,divorcé,3.0,0.86,464.0,988.656,500.0
52,166.9,66.4,F,non,bac,Corse,non,non,1959.0,divorcé,5.0,0.5,557.0,641.038,500.0
24,172.9,42.6,F,non,bac+2,Île-de-France,oui,oui,1389.0,célibataire,1.0,0.6,553.0,793.17,1366.7152302536567
30,153.3,66.0,F,oui,master,Corse,oui,non,1809.0,veuf,4.0,0.28,763.0,864.0200000000001,500.0
20,161.2,37.6,F,oui,master,Bretagne,oui,oui,4778.0,veuf,0.0,0.4,580.0,731.4459999999999,28396.908742389693
47,188.7,73.5,F,non,bac,Hauts-de-France,oui,oui,3838.0,célibataire,2.0,0.5,577.0,610.236,500.0
64,169.6,60.7,F,non,master,Île-de-France,non,oui,2071.0,veuf,3.0,0.6,581.0,739.762,16528.519173978777
39,190.1,82.8,F,oui,bac,Occitanie,non,oui,2783.0,veuf,1.0,0.83,357.0,577.66,12733.330382969947
31,181.1,69.4,H,oui,master,Hauts-de-France,oui,oui,2600.0,divorcé,5.0,0.98,557.0,1040.518,6156.501558240514
26,159.7,99.5,H,non,doctorat,Occitanie,oui,non,3008.0,célibataire,4.0,0.05,484.0,672.558,500.0
28,160.2,92.5,F,oui,bac+2,Provence-Alpes-Côte d’Azur,oui,non,500.0,célibataire,0.0,0.4,805.0,713.5759999999999,500.0
62,184.7,67.1,F,oui,master,Île-de-France,non,oui,4278.0,célibataire,5.0,0.7,455.0,830.5880000000001,31072.702663736723
34,174.5,75.3,H,non,aucun,Occitanie,oui,oui,2537.0,divorcé,0.0,0.97,580.0,844.8399999999999,500.0
37,164.1,74.1,F,non,master,Auvergne-Rhône-Alpes,non,non,4525.0,veuf,2.0,0.81,761.0,949.24,10946.391315339892
75,176.9,66.4,F,oui,doctorat,Occitanie,oui,non,1859.0,célibataire,4.0,0.02,576.0,547.03,500.0
34,181.6,66.8,H,oui,bac+2,Hauts-de-France,oui,oui,1566.0,célibataire,5.0,0.28,418.0,335.202,1992.4825524566772
55,172.2,91.8,F,oui,bac,Provence-Alpes-Côte d’Azur,oui,oui,3929.0,marié,5.0,0.4,506.0,901.632,15002.912094814255
44,168.8,56.1,H,non,master,Normandie,oui,oui,3214.0,marié,2.0,0.82,402.0,678.442,10488.968596578909
70,165.1,77.1,H,non,doctorat,Auvergne-Rhône-Alpes,non,oui,3865.0,célibataire,3.0,0.52,581.0,1128.66,37282.162849122215
54,180.3,75.4,H,oui,aucun,Normandie,non,oui,1851.0,marié,2.0,0.67,577.0,348.33,10767.439217607673
56,177.9,61.9,F,non,aucun,Bretagne,non,oui,1770.0,veuf,3.0,0.83,352.0,265.2039,4161.441442592443
33,168.1,88.1,H,oui,master,Bretagne,non,oui,1083.0,marié,4.0,0.49,576.0,562.484,20879.755904736496
33,193.19399999999996,42.5,H,oui,bac,Normandie,oui,oui,3041.0,marié,1.0,0.66,553.0,627.58,11145.183005926978
34,163.0,81.6,F,oui,doctorat,Auvergne-Rhône-Alpes,oui,non,2741.0,divorcé,0.0,0.6,573.0,884.098,500.0
47,167.4,59.2,F,oui,doctorat,Bretagne,oui,oui,3059.0,veuf,2.0,0.69,577.0,879.924,28698.200373046937
26,184.2,77.3,F,oui,aucun,Hauts-de-France,oui,oui,2663.0,célibataire,2.0,0.51,843.0,748.46,500.0
55,168.4,80.0,H,oui,doctorat,Normandie,non,oui,500.0,divorcé,4.0,0.97,718.0,559.26,29358.17769561137
18,158.6,77.5,F,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,2023.0,marié,0.0,0.89,580.0,1032.32,500.0
62,171.4,77.2,H,non,bac+2,Corse,non,oui,904.0,marié,5.0,0.29,561.0,1065.43,6712.726721442828
45,173.3,68.6,H,non,doctorat,Île-de-France,non,non,568.0,veuf,4.0,0.51,576.0,785.8320000000001,500.0
29,175.2,69.5,F,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,3624.0,veuf,0.0,0.21,580.0,1073.5,500.0
74,159.7,95.8,H,non,master,Île-de-France,oui,oui,1823.0,veuf,0.0,0.26,580.0,739.31,9958.305010076558
42,173.8,71.8,F,oui,aucun,Bretagne,non,oui,2040.0,marié,3.0,0.29,521.0,729.204,15699.8867602253
41,179.5,65.6,F,non,bac+2,Bretagne,non,oui,2321.0,marié,1.0,0.53,553.0,704.758,15785.751255071553
74,171.8,61.8,F,non,bac+2,Provence-Alpes-Côte d’Azur,non,oui,1216.0,divorcé,1.0,0.79,553.0,849.732,11292.029477601953
22,190.0,63.9,H,oui,bac,Bretagne,oui,oui,1731.0,divorcé,2.0,0.25,577.0,829.0260000000001,4529.690297241665
71,155.9,37.0,H,non,aucun,Occitanie,non,non,4762.0,divorcé,4.0,0.03,396.0,1307.961000000001,500.0
41,175.3,73.0,F,oui,bac+2,Hauts-de-France,non,oui,3480.0,divorcé,3.0,0.86,581.0,744.2800000000001,17264.275901828485
41,154.1,97.5,F,non,master,Bretagne,oui,oui,1993.0,divorcé,3.0,0.47,384.0,581.5580000000001,1281.9229939424142
52,163.6,39.3,H,non,bac,Provence-Alpes-Côte d’Azur,oui,oui,2217.0,veuf,3.0,0.59,581.0,866.378,1703.2091550614111
40,169.0,63.5,H,non,bac+2,Normandie,non,non,2140.0,célibataire,3.0,0.09,581.0,798.03,500.0
56,181.1,72.0,F,non,master,Provence-Alpes-Côte d’Azur,non,oui,1075.0,divorcé,3.0,0.41,581.0,899.202,10667.772211678155
36,174.3,56.6,H,non,aucun,Bretagne,non,oui,3619.0,divorcé,1.0,0.43,553.0,958.6020000000001,13279.43790734672
34,174.1,67.6,F,oui,bac+2,Corse,non,oui,2597.0,veuf,1.0,0.3,553.0,1307.961000000001,14865.32774958236
29,178.3,77.1,H,oui,aucun,Corse,non,oui,3152.0,célibataire,2.0,0.88,577.0,848.9779999999998,2426.265552876417
41,165.8,82.8,H,oui,bac+2,Corse,non,oui,1797.0,divorcé,3.0,0.31,581.0,283.86,10146.957094539635
74,151.8,51.9,H,non,bac+2,Auvergne-Rhône-Alpes,oui,oui,2986.0,divorcé,0.0,0.74,580.0,623.516,11837.808210233152
24,165.3,66.9,F,oui,aucun,Bretagne,non,oui,1930.0,marié,3.0,0.32,599.0,948.83,10379.81877962131
73,166.9,69.0,H,non,aucun,Auvergne-Rhône-Alpes,non,oui,4771.0,veuf,0.0,0.47,630.0,913.7279999999998,19719.5017886146
60,167.8,39.7,F,non,aucun,Occitanie,non,non,2600.0,marié,2.0,0.26,577.0,915.0900000000001,500.0
75,160.8,68.2,H,non,bac+2,Auvergne-Rhône-Alpes,non,non,4778.0,célibataire,0.0,0.64,614.0,731.4459999999999,8980.312053464007
75,160.7,89.3,H,oui,bac,Île-de-France,oui,non,2248.0,célibataire,0.0,0.02,580.0,664.456,500.0
40,171.7,58.2,F,non,bac,Île-de-France,oui,non,1899.0,veuf,5.0,0.11,342.0,949.448,500.0
57,174.0,83.7,H,oui,bac,Corse,non,oui,4207.0,célibataire,1.0,0.78,718.0,778.668,21549.82401911197
74,179.6,79.9,F,oui,bac+2,Occitanie,oui,non,1998.0,divorcé,3.0,0.59,774.0,773.764,500.0
55,185.8,54.9,F,oui,doctorat,Normandie,oui,oui,602.0,veuf,4.0,0.35,576.0,752.496,5428.047793885788
40,177.6,85.5,F,oui,master,Normandie,oui,oui,3474.0,célibataire,4.0,0.71,496.0,1278.27,16752.789752354092
56,160.5,66.6,F,non,doctorat,Bretagne,non,oui,1908.0,marié,5.0,0.47,318.0,941.686,20423.84320730014
57,176.5,77.0,H,non,doctorat,Corse,oui,oui,1176.0,marié,0.0,0.32,580.0,666.126,500.0
