smoker,revenu_estime_mois,historique_credits,score_credit,loyer_mensuel,montant_pret
0,5245.0,2.0,577.0,867.952,32408.309271881208
1,3792.0,0.0,580.0,700.914,17975.461375021725
1,714.0,0.0,772.0,699.57,500.0
1,500.0,2.0,356.0,837.7660000000002,500.0
1,3440.0,2.0,633.0,868.476,18070.091787237645
1,885.0,3.0,375.0,684.7860000000001,12373.56023523041
1,3114.0,4.0,646.0,767.006,20050.690685912497
1,1840.0,2.0,434.0,596.0,500.0
0,2050.0,5.0,634.0,679.878,500.0
0,3911.0,3.0,581.0,865.49,500.0
1,3821.0,5.0,557.0,1141.89,500.0
1,500.0,2.0,577.0,654.534,500.0
1,4635.0,5.0,557.0,566.954,1986.2237285384024
0,500.0,4.0,576.0,713.5759999999999,500.0
1,900.0,3.0,581.0,889.7240000000002,500.0
1,3853.0,2.0,656.0,794.824,500.0
0,1672.0,5.0,620.0,929.684,500.0
0,2350.0,4.0,576.0,1065.788,12238.402238366429
0,2182.0,3.0,581.0,844.0419999999998,18547.59442206578
1,923.0,3.0,581.0,1052.648,500.0
1,2214.0,3.0,464.0,988.656,500.0
0,1959.0,5.0,557.0,641.038,500.0
1,1389.0,1.0,553.0,793.17,1366.7152302536567
1,1809.0,4.0,763.0,864.0200000000001,500.0
1,4778.0,0.0,580.0,731.4459999999999,28396.908742389693
1,3838.0,2.0,577.0,610.236,500.0
0,2071.0,3.0,581.0,739.762,16528.519173978777
0,2783.0,1.0,357.0,577.66,12733.330382969947
1,2600.0,5.0,557.0,1040.518,6156.501558240514
1,3008.0,4.0,484.0,672.558,500.0
1,500.0,0.0,805.0,713.5759999999999,500.0
0,4278.0,5.0,455.0,830.5880000000001,31072.702663736723
1,2537.0,0.0,580.0,844.8399999999999,500.0
0,4525.0,2.0,761.0,949.24,10946.391315339892
1,1859.0,4.0,576.0,547.03,500.0
1,1566.0,5.0,418.0,335.202,1992.4825524566772
1,3929.0,5.0,506.0,901.632,15002.912094814255
1,3214.0,2.0,402.0,678.442,10488.968596578909
0,3865.0,3.0,581.0,1128.66,37282.162849122215
0,1851.0,2.0,577.0,348.33,10767.439217607673
0,1770.0,3.0,352.0,265.2039,4161.441442592443
0,1083.0,4.0,576.0,562.484,20879.755904736496
1,3041.0,1.0,553.0,627.58,11145.183005926978
1,2741.0,0.0,573.0,884.098,500.0
1,3059.0,2.0,577.0,879.924,28698.200373046937
1,2663.0,2.0,843.0,748.46,500.0
0,500.0,4.0,718.0,559.26,29358.17769561137
1,2023.0,0.0,580.0,1032.32,500.0
0,904.0,5.0,561.0,1065.43,6712.726721442828
0,568.0,4.0,576.0,785.8320000000001,500.0
1,3624.0,0.0,580.0,1073.5,500.0
1,1823.0,0.0,580.0,739.31,9958.305010076558
0,2040.0,3.0,521.0,729.204,15699.8867602253
0,2321.0,1.0,553.0,704.758,15785.751255071553
0,1216.0,1.0,553.0,849.732,11292.029477601953
1,1731.0,2.0,577.0,829.0260000000001,4529.690297241665
0,4762.0,4.0,396.0,1307.961000000001,500.0
0,3480.0,3.0,581.0,744.2800000000001,17264.275901828485
1,1993.0,3.0,384.0,581.5580000000001,1281.9229939424142
1,2217.0,3.0,581.0,866.378,1703.2091550614111
0,2140.0,3.0,581.0,798.03,500.0
0,1075.0,3.0,581.0,899.202,10667.772211678155
0,3619.0,1.0,553.0,958.6020000000001,13279.43790734672
0,2597.0,1.0,553.0,1307.961000000001,14865.32774958236
0,3152.0,2.0,577.0,848.9779999999998,2426.265552876417
0,1797.0,3.0,581.0,283.86,10146.957094539635
1,2986.0,0.0,580.0,623.516,11837.808210233152
0,1930.0,3.0,599.0,948.83,10379.81877962131
0,4771.0,0.0,630.0,913.7279999999998,19719.5017886146
0,2600.0,2.0,577.0,915.0900000000001,500.0
0,4778.0,0.0,614.0,731.4459999999999,8980.312053464007
1,2248.0,0.0,580.0,664.456,500.0
1,1899.0,5.0,342.0,949.448,500.0
0,4207.0,1.0,718.0,778.668,21549.82401911197
1,1998.0,3.0,774.0,773.764,500.0
1,602.0,4.0,576.0,752.496,5428.047793885788
1,3474.0,4.0,496.0,1278.27,16752.789752354092
0,1908.0,5.0,318.0,941.686,20423.84320730014
1,1176.0,0.0,580.0,666.126,500.0
1,4010.0,2.0,577.0,694.0740000000001,40137.50246898064
1,4319.0,5.0,557.0,802.2199999999999,500.0
0,4897.0,0.0,768.0,764.0600000000001,35962.04802835945
0,4231.0,2.0,577.0,785.024,500.0
1,645.0,4.0,818.0,643.462,500.0
0,2452.0,4.0,380.0,743.9340000000001,500.0
0,2571.0,2.0,577.0,910.4280000000001,33049.468422152735
1,3121.0,1.0,701.0,867.894,7051.1771065952
0,2285.0,1.0,792.0,903.858,2724.919805153449
1,2483.0,2.0,666.0,265.2039,26282.620988748466
0,4243.0,2.0,359.0,744.2259999999999,14306.900020371317
1,4340.0,2.0,698.0,1004.67,500.0
1,531.0,1.0,553.0,749.9680000000001,500.0
0,2743.0,5.0,557.0,847.452,16741.9804046619
